M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
64,0.02,46,1,204,52,0.8461538461538461,0.22003579139709473
64,0.02,46,2,205,51,0.6484615384615384,0.23359966278076172
64,0.02,46,3,205,51,0.6661538461538461,0.21467065811157227
64,0.02,46,4,205,51,0.8253846153846154,0.22011756896972656
64,0.02,46,5,205,51,0.7461538461538462,0.23453974723815918
64,0.05,46,1,204,52,0.8076923076923077,0.2192704677581787
64,0.05,46,2,205,51,0.7469230769230769,0.22233867645263672
64,0.05,46,3,205,51,0.7238461538461538,0.21834540367126465
64,0.05,46,4,205,51,0.8246153846153846,0.21985340118408203
64,0.05,46,5,205,51,0.7076923076923077,0.22988367080688477
64,0.1,46,1,204,52,0.8269230769230769,0.2129371166229248
64,0.1,46,2,205,51,0.7669230769230769,0.2145085334777832
64,0.1,46,3,205,51,0.6838461538461539,0.2122037410736084
64,0.1,46,4,205,51,0.8246153846153846,0.22064638137817383
64,0.1,46,5,205,51,0.7453846153846153,0.2219986915588379
64,0.2,46,1,204,52,0.8653846153846154,0.23414206504821777
64,0.2,46,2,205,51,0.8623076923076922,0.21775078773498535
64,0.2,46,3,205,51,0.803076923076923,0.22780275344848633
64,0.2,46,4,205,51,0.8830769230769231,0.2231442928314209
64,0.2,46,5,205,51,0.8638461538461539,0.22221112251281738
64,0.5,46,1,204,52,0.9038461538461539,0.2310633659362793
64,0.5,46,2,205,51,0.9607692307692308,0.22536778450012207
64,0.5,46,3,205,51,0.98,0.21375083923339844
64,0.5,46,4,205,51,0.9807692307692308,0.22415971755981445
64,0.5,46,5,205,51,0.9807692307692308,0.23145604133605957
64,1.0,46,1,204,52,0.9423076923076923,0.22268986701965332
64,1.0,46,2,205,51,0.9607692307692308,0.23138928413391113
64,1.0,46,3,205,51,1.0,0.21558523178100586
64,1.0,46,4,205,51,1.0,0.21732473373413086
64,1.0,46,5,205,51,1.0,0.22723102569580078
256,0.0,46,1,51,13,0.6904761904761905,0.23807168006896973
256,0.0,46,2,51,13,0.6309523809523809,0.21571803092956543
256,0.0,46,3,51,13,0.5476190476190476,0.22870540618896484
256,0.0,46,4,51,13,0.7738095238095238,0.21106481552124023
256,0.0,46,5,52,12,0.41666666666666663,0.22051334381103516
256,0.01,46,1,51,13,0.6904761904761905,0.21726346015930176
256,0.01,46,2,51,13,0.6309523809523809,0.21226763725280762
256,0.01,46,3,51,13,0.4642857142857143,0.20502328872680664
256,0.01,46,4,51,13,0.7738095238095238,0.21166563034057617
256,0.01,46,5,52,12,0.41666666666666663,0.22393536567687988
256,0.02,46,1,51,13,0.6904761904761905,0.21156859397888184
256,0.02,46,2,51,13,0.6309523809523809,0.2157750129699707
256,0.02,46,3,51,13,0.5357142857142857,0.21978759765625
256,0.02,46,4,51,13,0.7023809523809523,0.22049403190612793
256,0.02,46,5,52,12,0.41666666666666663,0.21126222610473633
256,0.05,46,1,51,13,0.6190476190476191,0.20895051956176758
256,0.05,46,2,51,13,0.5357142857142857,0.21548819541931152
256,0.05,46,3,51,13,0.47619047619047616,0.20417404174804688
256,0.05,46,4,51,13,0.7023809523809523,0.22396588325500488
256,0.05,46,5,52,12,0.41666666666666663,0.21112871170043945
256,0.1,46,1,51,13,0.6071428571428572,0.21690726280212402
256,0.1,46,2,51,13,0.4642857142857143,0.21428847312927246
256,0.1,46,3,51,13,0.7023809523809523,0.2046060562133789
256,0.1,46,4,51,13,0.7023809523809523,0.2290799617767334
256,0.1,46,5,52,12,0.41666666666666663,0.21463632583618164
256,0.2,46,1,51,13,0.45238095238095233,0.20684051513671875
256,0.2,46,2,51,13,0.6904761904761905,0.2157444953918457
256,0.2,46,3,51,13,0.7738095238095238,0.21187663078308105
256,0.2,46,4,51,13,0.7142857142857143,0.19993114471435547
256,0.2,46,5,52,12,0.3333333333333333,0.20035076141357422
256,0.5,46,1,51,13,0.9166666666666667,0.1969151496887207
256,0.5,46,2,51,13,0.9285714285714286,0.20462393760681152
256,0.5,46,3,51,13,1.0,0.1974489688873291
256,0.5,46,4,51,13,0.7857142857142857,0.20314311981201172
256,0.5,46,5,52,12,0.9166666666666667,0.19707417488098145
256,1.0,46,1,51,13,1.0,0.19940781593322754
256,1.0,46,2,51,13,1.0,0.204118013381958
256,1.0,46,3,51,13,1.0,0.22732234001159668
256,1.0,46,4,51,13,1.0,0.20509958267211914
256,1.0,46,5,52,12,1.0,0.2001361846923828
64,0.0,47,1,204,52,0.5576923076923077,0.21863317489624023
64,0.0,47,2,205,51,0.5492307692307692,0.21339106559753418
64,0.0,47,3,205,51,0.5092307692307692,0.23132824897766113
64,0.0,47,4,205,51,0.4307692307692308,0.21516799926757812
64,0.0,47,5,205,51,0.5130769230769231,0.2217845916748047
64,0.01,47,1,204,52,0.7307692307692308,0.2120349407196045
64,0.01,47,2,205,51,0.7246153846153847,0.21652555465698242
64,0.01,47,3,205,51,0.6261538461538462,0.21956419944763184
64,0.01,47,4,205,51,0.5884615384615384,0.217299222946167
64,0.01,47,5,205,51,0.6692307692307693,0.21639347076416016
64,0.02,47,1,204,52,0.75,0.21973490715026855
64,0.02,47,2,205,51,0.7446153846153847,0.21439218521118164
64,0.02,47,3,205,51,0.6646153846153846,0.22108793258666992
64,0.02,47,4,205,51,0.6069230769230769,0.21886730194091797
64,0.02,47,5,205,51,0.726923076923077,0.21616625785827637
64,0.05,47,1,204,52,0.7884615384615384,0.21552014350891113
64,0.05,47,2,205,51,0.8023076923076923,0.2182307243347168
64,0.05,47,3,205,51,0.7446153846153847,0.21671056747436523
64,0.05,47,4,205,51,0.7061538461538461,0.21489381790161133
64,0.05,47,5,205,51,0.8253846153846154,0.21695899963378906
64,0.1,47,1,204,52,0.8269230769230769,0.21825194358825684
64,0.1,47,2,205,51,0.803076923076923,0.21930837631225586
64,0.1,47,3,205,51,0.8238461538461539,0.22506046295166016
64,0.1,47,4,205,51,0.7861538461538462,0.21817398071289062
64,0.1,47,5,205,51,0.8638461538461539,0.2110450267791748
64,0.2,47,1,204,52,0.8269230769230769,0.21285486221313477
64,0.2,47,2,205,51,0.88,0.2175452709197998
64,0.2,47,3,205,51,0.9015384615384616,0.23126864433288574
64,0.2,47,4,205,51,0.8446153846153847,0.21926069259643555
64,0.2,47,5,205,51,0.9207692307692308,0.21460318565368652
64,0.5,47,1,204,52,0.9423076923076923,0.22244572639465332
64,0.5,47,2,205,51,0.9199999999999999,0.21642184257507324
64,0.5,47,3,205,51,0.96,0.23036980628967285
64,0.5,47,4,205,51,0.9415384615384615,0.21999597549438477
64,0.5,47,5,205,51,0.9607692307692308,0.21208572387695312
64,1.0,47,1,204,52,0.9807692307692308,0.2115626335144043
64,1.0,47,2,205,51,0.96,0.21925759315490723
64,1.0,47,3,205,51,0.9615384615384616,0.23462414741516113
64,1.0,47,4,205,51,1.0,0.21759033203125
64,1.0,47,5,205,51,0.9415384615384615,0.21759700775146484
256,0.0,47,1,51,13,0.39285714285714285,0.20678997039794922
256,0.0,47,2,51,13,0.6904761904761905,0.20395851135253906
256,0.0,47,3,51,13,0.38095238095238093,0.21042275428771973
256,0.0,47,4,51,13,0.45238095238095233,0.20795321464538574
