M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,C3-C4,fbar,42,2,26214,6554,0.5651510527921879,1.0676558017730713
1,C3-C4,fbar,42,3,26214,6554,0.5717119316447972,1.0560376644134521
1,C3-C4,fbar,42,4,26215,6553,0.5624897768626789,1.031557559967041
1,C3-C4,fbar,42,5,26215,6553,0.5675254288315015,1.0823891162872314
1,C4-rest,fbar,42,1,52428,13108,0.5655070694741124,2.3854079246520996
1,C4-rest,fbar,42,2,52429,13107,0.5557916424944195,2.3803677558898926
1,C4-rest,fbar,42,3,52429,13107,0.5661572642769623,2.2538039684295654
1,C4-rest,fbar,42,4,52429,13107,0.549831418521332,2.337968349456787
1,C4-rest,fbar,42,5,52429,13107,0.5572057134856802,2.3366167545318604
1,4class,fbar,42,1,52428,13108,0.2761672261214525,2.5033695697784424
1,4class,fbar,42,2,52429,13107,0.28405147729224633,2.689669609069824
1,4class,fbar,42,3,52429,13107,0.2816032105588102,2.6745145320892334
1,4class,fbar,42,4,52429,13107,0.28000183411001234,2.58890962600708
1,4class,fbar,42,5,52429,13107,0.2752706639645913,2.5263302326202393
1,C1-C2,fbar_var,42,1,26214,6554,0.5047299359169972,1.3903133869171143
1,C1-C2,fbar_var,42,2,26214,6554,0.5090021361000915,1.338561773300171
1,C1-C2,fbar_var,42,3,26214,6554,0.4922184925236497,1.2048466205596924
1,C1-C2,fbar_var,42,4,26215,6553,0.5151831054714789,1.2520666122436523
1,C1-C2,fbar_var,42,5,26215,6553,0.49656898470600025,1.2606091499328613
1,C1-C3,fbar_var,42,1,26214,6554,0.5086969789441562,1.0848500728607178
1,C1-C3,fbar_var,42,2,26214,6554,0.5128166005492829,1.1522762775421143
1,C1-C3,fbar_var,42,3,26214,6554,0.5212084223375038,1.1054868698120117
1,C1-C3,fbar_var,42,4,26215,6553,0.5029738384559868,1.172886610031128
1,C1-C3,fbar_var,42,5,26215,6553,0.5159474887503572,1.1056365966796875
1,C1-C4,fbar_var,42,1,26214,6554,0.6469331705828502,0.814713716506958
1,C1-C4,fbar_var,42,2,26214,6554,0.6307598413182789,0.8032100200653076
1,C1-C4,fbar_var,42,3,26214,6554,0.6290814769606348,0.7946317195892334
1,C1-C4,fbar_var,42,4,26215,6553,0.637873328482117,0.8253693580627441
1,C1-C4,fbar_var,42,5,26215,6553,0.6389451976498055,0.8075580596923828
1,C2-C3,fbar_var,42,1,26214,6554,0.5054928288068355,1.0676960945129395
1,C2-C3,fbar_var,42,2,26214,6554,0.5016783643576442,1.100250482559204
1,C2-C3,fbar_var,42,3,26214,6554,0.4993896856881294,1.1079776287078857
1,C2-C3,fbar_var,42,4,26215,6553,0.4999222203219762,1.124779462814331
1,C2-C3,fbar_var,42,5,26215,6553,0.4983991358724346,1.0895678997039795
1,C2-C4,fbar_var,42,1,26214,6554,0.6426609703997559,0.849675178527832
1,C2-C4,fbar_var,42,2,26214,6554,0.630302105584376,0.8063230514526367
1,C2-C4,fbar_var,42,3,26214,6554,0.6296917912725053,0.8501129150390625
1,C2-C4,fbar_var,42,4,26215,6553,0.6345158545723086,0.8052630424499512
1,C2-C4,fbar_var,42,5,26215,6553,0.6394036785782284,0.8039841651916504
1,C3-C4,fbar_var,42,1,26214,6554,0.6595971925541655,0.7864959239959717
1,C3-C4,fbar_var,42,2,26214,6554,0.6521208422337503,0.7786159515380859
1,C3-C4,fbar_var,42,3,26214,6554,0.6516631064998475,0.778282880783081
1,C3-C4,fbar_var,42,4,26215,6553,0.6494734921268336,0.7718546390533447
1,C3-C4,fbar_var,42,5,26215,6553,0.660310110836507,0.7852106094360352
1,C4-rest,fbar_var,42,1,52428,13108,0.616315735937341,1.6599102020263672
1,C4-rest,fbar_var,42,2,52429,13107,0.61443281568396,1.6770713329315186
1,C4-rest,fbar_var,42,3,52429,13107,0.6153950543431189,1.6618008613586426
1,C4-rest,fbar_var,42,4,52429,13107,0.6121911059882513,1.668281078338623
1,C4-rest,fbar_var,42,5,52429,13107,0.6008490850407492,1.6809546947479248
1,4class,fbar_var,42,1,52428,13108,0.3138541348794629,1.9788062572479248
1,4class,fbar_var,42,2,52429,13107,0.3183136816223481,1.9762468338012695
1,4class,fbar_var,42,3,52429,13107,0.3156304923164856,1.9824016094207764
