pixel,wavelength_angstrom,flux,absorption
326,1584.9090195740932,0.9901429866379536,0.009857013362046363
327,1584.9229595078284,0.9903675070228567,0.009632492977143303
328,1584.9368995641696,0.9907875236548557,0.009212476345144327
329,1584.9508397431193,0.9913835711398755,0.008616428860124481
330,1584.96478004468,0.9921337982289905,0.007866201771009496
331,1584.9787204688503,0.9930137398783084,0.006986260121691568
332,1584.9926610156322,0.9939883876326987,0.0060116123673013
333,1585.0066016850271,0.9950053660872196,0.004994633912780433
334,1585.0205424770375,0.995997864449605,0.00400213555039497
335,1585.0344833916613,0.9968986992907901,0.0031013007092098865
336,1585.0484244289014,0.99765767750679,0.0023423224932099806
337,1585.0623655887603,0.9982522930916843,0.001747706908315716
338,1585.0763068712358,0.9986875143662663,0.001312485633733651
339,1585.0902482763306,0.9989868079754608,0.0010131920245392
340,1585.104189804046,0.9991801478198727,0.0008198521801272562
341,1585.1181314543846,0.9992960139881091,0.0007039860118909225
342,1585.132073227344,0.9993597718851521,0.0006402281148478739
343,1585.1460151229273,0.9993944603128657,0.0006055396871342822
344,1585.1599571411368,0.9994179830658816,0.0005820169341184123
345,1585.1738992819705,0.9994404214986345,0.0005595785013654542
346,1585.1878415454314,0.9994651523102578,0.0005348476897422128
347,1585.2017839315217,0.9994916883710963,0.0005083116289037459
348,1585.2157264402395,0.9995179019447817,0.00048209805521826077
349,1585.2296690715875,0.9995415094887022,0.00045849051129775997
350,1585.2436118255666,0.9995609708885687,0.0004390291114313438
351,1585.25755470218,0.9995756084564575,0.00042439154354245723
352,1585.2714977014248,0.9995855412368823,0.0004144587631177421
353,1585.2854408233043,0.9995915581138922,0.00040844188610777987
354,1585.2993840678207,0.9995948202021264,0.0004051797978735783
355,1585.3133274349723,0.9995964668360349,0.0004035331639651307
356,1585.3272709247617,0.9995974089126519,0.0004025910873480809
357,1585.3412145371897,0.9995982289483046,0.0004017710516953654
358,1585.3551582722594,0.99959907147064,0.0004009285293600229
359,1585.3691021299683,0.9995997135590309,0.000400286440969122
360,1585.3830461103191,0.9995998774465226,0.0004001225534774333
361,1585.396990213315,0.9995994476015013,0.00040055239849867696
362,1585.410934438953,0.9995983109158053,0.00040168908419468963
363,1585.4248787872366,0.9995962202905568,0.0004037797094431639
364,1585.4388232581664,0.9995928850070503,0.00040711499294965314
365,1585.4527678517452,0.9995881862504108,0.00041181374958920713
366,1585.466712567971,0.9995822133819262,0.0004177866180737899
367,1585.4806574068464,0.9995752604776499,0.0004247395223501149
368,1585.4946023683738,0.9995677835297765,0.00043221647022351206
369,1585.5085474525515,0.999560171622457,0.0004398283775429723
370,1585.5224926593821,0.9995524667716286,0.00044753322837143283
